"district","hour","cs1","cs2","cs3","cs4","cs5"
"001","4am",0,0,0,0,0
"002","4am",0,0,0,0,0
"003","4am",0,0,0,0,0
"004","4am",0,0,0,0,0
"005","4am",0,0,0,0,0
"006","4am",0,0,0,0,0
"007","4am",0,0,0,0,0
"008","4am",0,0,0,0,0
"009","4am",0,0,0,0,0
"010","4am",0,0,0,0,0
"011","4am",0,0,0,0,0
"012","4am",0,0,0,0,0
"013","4am",0,0,0,0,0
"014","4am",0,0,0,0,0
"015","4am",0,0,0,0,0
"016","4am",0,0,0,0,0
"017","4am",0,0,0,0,0
"018","4am",0,0,0,0,0
"019","4am",0,0,0,0,0
"020","4am",0,0,0,0,0
"021","4am",0,0,0,0,0
"022","4am",0,0,0,0,0
"023","4am",0,0,0,0,0
"024","4am",0,0,0,0,0
"025","4am",0,0,0,0,0
"026","4am",0,0,0,0,0
"027","4am",0,0,0,0,0
"028","4am",0,0,0,0,0
"029","4am",0,0,0,0,0
"030","4am",0,0,0,0,0
"031","4am",0,0,0,0,0
"032","4am",0,0,0,0,0
"033","4am",0,0,0,0,0
"034","4am",0,0,0,0,0
"035","4am",0,0,0,0,0
"036","4am",0,0,0,0,0
"037","4am",0,0,0,0,0
"038","4am",0,0,0,0,0
"039","4am",0,0,0,0,0
"040","4am",0,0,0,0,0
"041","4am",0,0,0,0,0
"042","4am",0,0,0,0,0
"043","4am",0,0,0,0,0
"044","4am",0,0,0,0,0
"045","4am",0,0,0,0,0
"046","4am",0,0,0,0,0
"047","4am",0,0,0,0,0
"048","4am",0,0,0,0,0
"049","4am",0,0,0,0,0
"050","4am",0,0,0,0,0
"051","4am",0,0,0,0,0
"052","4am",0,0,0,0,0
"053","4am",0,0,0,0,0
"054","4am",0,0,0,0,0
"055","4am",0,0,0,0,0
"056","4am",0,0,0,0,0
"057","4am",0,0,0,0,0
"058","4am",0,0,0,0,0
"059","4am",0,0,0,0,0
"060","4am",0,0,0,0,0
"061","4am",0,0,0,0,0
"062","4am",0,0,0,0,0
"063","4am",0,0,0,0,0
"064","4am",0,0,0,0,0
"065","4am",0,0,0,0,0
"066","4am",0,0,0,0,0
"067","4am",0,0,0,0,0
"068","4am",0,0,0,0,0
"069","4am",0,0,0,0,0
"070","4am",0,0,0,0,0
"071","4am",0,0,0,0,0
"072","4am",0,0,0,0,0
"073","4am",0,0,0,0,0
"074","4am",0,0,0,0,0
"075","4am",0,0,0,0,0
"076","4am",0,0,0,0,0
"077","4am",0,0,0,0,0
