"hour";"7501";"7502";"7503";"7504";"7505";"7506";"7507";"7508";"7509";"7510";"7511";"7512";"7513";"7514";"7701";"7702";"7703";"7704";"7705";"7706";"7707";"7708";"7709";"7710";"7711";"7712";"7713";"7714";"7715";"7716";"7801";"7802";"7803";"7804";"7805";"7806";"7807";"7808";"7809";"7810";"7811";"7812";"7813";"7814";"7815";"7816";"9101";"9102";"9103";"9104";"9105";"9106";"9107";"9108";"9109";"9110";"9111";"9112";"9113";"9114";"9201";"9202";"9203";"9204";"9205";"9206";"9207";"9208";"9209";"9210";"9211";"9212";"9302";"9303";"9304";"9305";"9306";"9307";"9308";"9309";"9310";"9311";"9312";"9402";"9403";"9404";"9405";"9406";"9407";"9408";"9409";"9410";"9411";"9412";"9413";"9414";"9501";"9502";"9503";"9504";"9505";"9506";"9507";"9508";"9509";"9510";"9511";"9512";"9513"
"min";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"max";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027";"87554.2776779027"
"4am";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0";" 0";" 0";" 0";" 0";"0";" 0";" 0"
"5am";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"3012.63";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"0";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00";"   0.00"
"6am";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"0";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"3960.725";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000";"   0.000"
"7am";" 3116.676";" 4695.063";" 5757.664";" 5143.362";"    0.000";" 4155.686";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4172.031";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"0";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 6435.575";"    0.000";" 4330.768";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"10486.951";" 3586.742";"    0.000";" 3156.210";"    0.000";"    0.000";" 6216.186";" 4742.962";" 4749.035";" 7186.721";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 4403.723";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"8am";"10378.469";" 9781.517";"10607.498";" 8635.694";"    0.000";" 7242.772";" 6118.799";" 2914.212";" 5908.362";" 5222.643";" 7356.452";" 5576.375";" 4885.051";" 5569.950";" 7162.226";" 3969.534";" 7380.947";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 8668.015";"    0.000";" 8183.801";"    0.000";" 6433.061";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 3787.896";"    0.000";"    0.000";"15370.851";" 9136.622";" 7651.219";"11184.604";" 4605.259";" 4675.262";"11579.060";" 8200.134";" 8379.991";"11519.369";"    0.000";" 4746.211";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 7788.056";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"9am";"16370.742";"15780.402";"15736.716";"12686.868";" 3983.300";" 9447.483";" 7269.581";" 4069.325";" 7955.353";" 6510.471";"11741.561";" 9244.935";" 9197.752";" 6984.785";" 8752.457";" 4562.593";" 9474.989";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 9170.314";"    0.000";" 8557.219";" 4834.872";" 9084.924";" 2920.171";"    0.000";"    0.000";"    0.000";"    0.000";" 3966.777";"    0.000";"    0.000";"19556.254";"11804.637";" 8116.775";"15304.015";" 7195.867";" 6760.799";"13187.186";" 8481.087";"12709.312";"18652.060";"    0.000";" 4840.033";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 9289.672";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 6303.471";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
"10am";"19588.776";"18241.541";"17617.207";"14978.573";" 4368.874";"10177.165";" 8517.648";" 5296.353";" 9525.895";" 8574.453";"12463.862";"11249.022";" 7415.335";" 8460.652";" 8985.100";" 6024.485";"13327.263";"    0.000";"    0.000";"    0.000";"    0.000";" 4518.810";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 9744.862";"    0.000";" 8667.752";" 6206.727";" 9623.652";" 2920.171";"    0.000";"    0.000";"    0.000";"    0.000";" 3966.777";"    0.000";"    0.000";"19384.472";"14190.819";" 7398.542";"16211.546";" 8650.624";" 7429.348";"13571.849";" 9256.647";" 9492.796";"19849.253";"    0.000";" 4840.033";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 8725.667";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";" 6477.289";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000";"    0.000"
