"variable","CODE_SEC","RES_SEC","W_IND"
"h7","109","105",77.00953
"h7","109","108",71.76716
"h7","109","113",105.8459
"h7","109","114",56.53178
"h7","109","123",90.01059
"h7","109","127",184.62101
"h7","109","128",88.96473
"h7","109","131",144.6932
"h7","109","133",103.4924
"h7","109","137",72.78828
"h7","109","141",245.9803
"h7","109","142",87.04821
"h7","109","155",120.6834
"h7","110","102",93.58184
"h7","110","104",128.4545
"h7","110","111",29.55187
"h7","110","112",240.328
"h7","110","113",159.44871
"h7","110","117",101.6207
"h7","110","122",87.85105
"h7","110","126",209.1754
"h7","110","128",132.5703
"h7","110","129",70.6686
"h7","110","133",103.4924
"h7","110","136",153.3295
"h7","110","140",134.3084
"h7","110","144",60.48834
"h7","110","157",101.4177
"h7","124","106",150.2722
"h7","124","112",76.86227
"h7","124","119",421.9038
"h7","124","125",271.15078
"h7","124","127",172.10122
"h7","124","128",50.69564
"h7","124","131",281.4842
"h7","124","141",154.7991
"h7","124","143",129.8302
"h7","124","147",54.47666
"h7","124","148",130.83456
"h7","124","152",165.4514
"h7","124","155",115.2102
"h7","125","108",293.4309
"h7","125","113",52.78855
"h7","125","119",228.4782
"h7","125","121",182.5924
"h7","125","123",81.68369
"h7","125","126",451.16967
"h7","125","132",156.5145
"h7","125","134",78.0032
"h7","125","151",92.53121
"h7","125","153",152.866
"h7","125","157",89.76926
"h7","145","109",79.94082
"h7","145","111",29.55187
"h7","145","120",52.35614
"h7","145","139",284.4794
"h7","145","141",139.5984
"h7","145","142",103.8466
"h7","145","143",559.85968
"h7","145","144",174.96096
"h7","145","146",162.9403
"h7","145","147",127.7791
"h7","145","156",181.8791
"h7","147","112",130.9183
"h7","147","118",196.6616
"h7","147","142",92.4209
"h7","147","148",89.96782
"h7","147","149",257.30573
"h7","147","150",263.6465
"h7","147","151",45.06788
"h7","147","152",126.3207
"h7","147","154",106.326
"h7","147","156",215.22584
"h7","147","157",101.2967
"h8","101","102",98.52926
"h8","101","105",211.9616
"h8","101","107",111.092
"h8","101","108",91.54387
"h8","101","109",206.80401
"h8","101","111",44.11346
"h8","101","112",475.7026
"h8","101","115",81.63214
"h8","101","116",168.35918
"h8","101","118",407.2153
"h8","101","120",81.61043
"h8","101","124",114.0571
"h8","101","126",110.9103
"h8","101","127",76.0151
"h8","101","133",359.1644
"h8","101","134",125.3679
"h8","101","138",223.6177
"h8","101","144",60.48834
"h8","101","146",81.22411
"h8","101","157",133.0079
"h8","102","105",214.0456
"h8","102","106",151.24746
"h8","102","112",272.57416
"h8","102","113",181.56602
"h8","102","115",53.5837
"h8","102","118",196.5953
"h8","102","119",242.8802
"h8","102","121",187.4625
"h8","102","122",177.3348
"h8","102","123",86.05777
"h8","102","127",218.61448
"h8","102","128",101.1021
"h8","102","131",450.7345
"h8","102","134",125.3679
"h8","102","139",79.03805
"h8","102","151",86.70056
"h8","102","154",195.0022
"h8","102","157",156.1055
"h8","103","102",120.182
"h8","103","104",330.73866
"h8","103","105",30.2929
"h8","103","107",190.63074
"h8","103","109",117.886
"h8","103","110",169.6034
"h8","103","113",54.9803
"h8","103","114",53.19808
"h8","103","127",132.0664
"h8","103","129",206.499
"h8","103","136",67.66049
"h8","103","139",106.3414
"h8","103","156",87.91924
"h8","106","101",32.30763
"h8","106","104",81.28795
"h8","106","112",122.1285
"h8","106","116",65.81757
"h8","106","117",56.317
"h8","106","118",292.60809
"h8","106","119",228.4782
"h8","106","121",151.6526
"h8","106","128",218.4617
"h8","106","139",106.3414
"h8","106","145",68.26426
"h8","106","150",104.6939
"h8","106","156",144.9809
"h8","109","105",77.00953
"h8","109","108",71.76716
"h8","109","111",44.11346
"h8","109","113",180.70481
"h8","109","114",56.53178
"h8","109","122",88.68297
"h8","109","123",90.01059
"h8","109","127",184.62101
"h8","109","128",126.3467
"h8","109","131",144.6932
"h8","109","133",103.4924
"h8","109","137",72.78828
"h8","109","141",245.9803
"h8","109","142",183.089
"h8","109","143",115.1632
"h8","109","155",120.6834
"h8","110","102",93.58184
"h8","110","104",128.4545
"h8","110","111",61.0142
"h8","110","112",240.328
"h8","110","113",159.44871
"h8","110","115",45.41677
"h8","110","117",101.6207
"h8","110","122",87.85105
"h8","110","126",209.1754
"h8","110","128",467.5131
"h8","110","129",70.6686
"h8","110","133",221.8322
"h8","110","136",153.3295
"h8","110","143",188.6583
"h8","110","144",60.48834
"h8","110","149",94.15743
"h8","110","154",113.7708
"h8","110","155",122.473
"h8","110","157",101.4177
"h8","114","102",66.31136
"h8","114","110",129.3702
"h8","114","111",44.11346
"h8","114","113",153.93857
"h8","114","115",238.42976
"h8","114","116",137.5771
"h8","114","117",102.2112
"h8","114","127",93.81219
"h8","114","135",141.1336
"h8","114","141",113.5329
"h8","114","155",144.0884
"h8","118","105",59.18745
"h8","118","111",107.88059
"h8","118","115",51.93995
"h8","118","116",131.63514
"h8","118","117",194.1855
"h8","118","121",147.7128
"h8","118","122",253.4132
"h8","118","123",81.68369
"h8","118","136",351.1572
"h8","118","141",130.3537
"h8","118","143",103.9153
"h8","118","146",114.7941
"h8","119","101",37.22053
"h8","119","104",163.1755
"h8","119","110",91.45247
"h8","119","111",33.04232
"h8","119","114",62.98012
"h8","119","118",275.6624
"h8","119","120",165.96172
"h8","119","122",114.2622
"h8","119","129",70.6686
"h8","119","130",187.44379
"h8","119","131",481.7701
"h8","119","140",103.4807
"h8","119","142",106.4108
"h8","119","147",81.6866
"h8","119","150",104.6939
"h8","119","156",152.1258
"h8","119","157",98.42166
"h8","123","117",115.3388
"h8","123","124",391.75533
"h8","123","125",281.5058
"h8","123","126",152.1533
"h8","123","137",160.894
"h8","123","139",79.03805
"h8","123","141",293.8667
"h8","123","152",165.4514
"h8","123","155",364.91764
"h8","123","156",147.8581
"h8","124","112",248.21626
"h8","124","119",421.9038
"h8","124","123",176.06836
"h8","124","125",536.07496
"h8","124","127",172.10122
"h8","124","128",50.69564
"h8","124","131",281.4842
"h8","124","141",154.7991
"h8","124","143",129.8302
"h8","124","147",54.47666
"h8","124","148",173.77108
"h8","124","152",165.4514
"h8","124","155",115.2102
"h8","124","157",101.2967
"h8","125","102",120.182
"h8","125","107",118.8697
"h8","125","108",456.71478
"h8","125","111",80.739
"h8","125","112",72.99217
"h8","125","113",52.78855
"h8","125","119",228.4782
"h8","125","121",182.5924
"h8","125","123",172.74081
"h8","125","124",459.5791
"h8","125","126",451.16967
"h8","125","131",155.5778
"h8","125","132",300.9796
"h8","125","134",78.0032
"h8","125","142",92.4209
"h8","125","151",92.53121
"h8","125","153",152.866
"h8","125","157",179.53852
"h8","130","106",400.8875
"h8","130","108",85.81717
"h8","130","110",94.7109
"h8","130","111",63.76713
"h8","130","115",81.63214
"h8","130","116",96.98236
"h8","130","117",280.7865
"h8","130","123",62.85849
"h8","130","132",163.6425
"h8","130","133",113.9406
"h8","130","138",170.5327
"h8","131","108",96.9438
"h8","131","113",72.6355
"h8","131","115",44.02325
"h8","131","116",87.49415
"h8","131","121",182.5924
"h8","131","126",176.8965
"h8","131","127",433.25514
"h8","131","128",177.92946
"h8","131","129",237.64684
"h8","131","134",65.91244
"h8","131","137",299.5368
"h8","131","141",417.7637
"h8","131","143",72.06937
"h8","131","150",164.9369
"h8","131","153",106.6201
"h8","131","154",113.7708
"h8","140","110",121.4716
"h8","140","114",103.91154
"h8","140","119",131.3615
"h8","140","137",177.04442
"h8","140","138",152.59893
"h8","140","139",113.5494
"h8","140","141",80.75533
"h8","140","142",212.65456
"h8","140","143",103.9153
"h8","140","145",262.25246
"h8","140","146",249.6488
"h8","140","157",112.8144
"h8","145","109",79.94082
"h8","145","111",29.55187
"h8","145","115",76.56542
"h8","145","120",52.35614
"h8","145","126",103.2796
"h8","145","139",158.0761
"h8","145","140",172.1867
"h8","145","141",305.3758
"h8","145","142",202.2589
"h8","145","143",645.80946
"h8","145","144",246.96799
"h8","145","146",411.93642
"h8","145","147",127.7791
"h8","145","156",269.79834
"h8","147","112",246.4351
"h8","147","118",196.6616
"h8","147","137",313.3836
"h8","147","142",92.4209
"h8","147","143",72.06937
"h8","147","146",85.48774
"h8","147","148",89.96782
"h8","147","149",509.24101
"h8","147","150",588.10365
"h8","147","152",126.3207
"h8","147","153",110.8617
"h8","147","154",220.0968
"h8","147","156",215.22584
"h8","147","157",241.0044
"h8","150","111",29.83848
"h8","150","125",166.0997
"h8","150","133",113.9406
"h8","150","139",92.70577
"h8","150","145",58.94096
"h8","150","149",224.0616
"h8","150","151",375.09096
"h8","150","152",305.3004
"h8","150","153",352.40496
"h8","150","155",226.9486
"h8","150","156",232.00585
"h9","101","102",98.52926
"h9","101","107",111.092
"h9","101","108",91.54387
"h9","101","109",88.91801
"h9","101","110",112.28
"h9","101","111",44.11346
"h9","101","112",666.4918
"h9","101","115",125.65539
"h9","101","116",168.35918
"h9","101","118",407.2153
"h9","101","119",273.3517
"h9","101","120",81.61043
"h9","101","124",114.0571
"h9","101","126",110.9103
"h9","101","127",76.0151
"h9","101","133",500.5368
"h9","101","134",125.3679
"h9","101","138",223.6177
"h9","101","141",80.75533
"h9","101","144",60.48834
"h9","101","146",81.22411
"h9","101","153",160.6238
"h9","101","157",227.72812
"h9","102","105",257.38739
"h9","102","106",151.24746
"h9","102","109",117.886
"h9","102","112",472.22045
"h9","102","113",181.56602
"h9","102","115",53.5837
"h9","102","118",196.5953
"h9","102","119",242.8802
"h9","102","121",187.4625
"h9","102","122",177.3348
"h9","102","123",86.05777
"h9","102","127",350.68088
"h9","102","128",202.49338
"h9","102","131",450.7345
"h9","102","132",110.3454
"h9","102","134",125.3679
"h9","102","139",79.03805
"h9","102","151",86.70056
"h9","102","154",195.0022
"h9","102","157",156.1055
"h9","103","104",330.73866
"h9","103","105",30.2929
"h9","103","107",190.63074
"h9","103","109",117.886
"h9","103","110",169.6034
"h9","103","111",122.57566
"h9","103","113",54.9803
"h9","103","114",53.19808
"h9","103","122",82.90815
"h9","103","128",103.6833
"h9","103","129",206.499
"h9","103","136",67.66049
"h9","103","139",106.3414
"h9","103","148",73.07759
"h9","103","156",186.34848
"h9","105","111",159.46573
"h9","105","113",105.8459
"h9","105","117",212.8213
"h9","105","118",421.8012
"h9","105","120",56.83508
"h9","105","122",173.3719
"h9","105","131",181.9078
"h9","105","146",94.18232
"h9","105","157",89.68148
"h9","106","101",32.30763
"h9","106","104",81.28795
"h9","106","112",122.1285
"h9","106","116",65.81757
"h9","106","117",56.317
"h9","106","118",292.60809
"h9","106","119",228.4782
"h9","106","121",151.6526
"h9","106","124",190.6099
"h9","106","128",104.8093
"h9","106","133",137.4175
"h9","106","139",106.3414
"h9","106","141",113.5329
"h9","106","145",68.26426
"h9","106","150",104.6939
"h9","106","156",144.9809
"h9","109","105",77.00953
"h9","109","108",71.76716
"h9","109","111",44.11346
"h9","109","113",74.85891
"h9","109","114",56.53178
"h9","109","118",147.4817
"h9","109","122",88.68297
"h9","109","123",90.01059
"h9","109","127",184.62101
"h9","109","128",126.3467
"h9","109","131",144.6932
"h9","109","133",103.4924
"h9","109","137",72.78828
"h9","109","141",245.9803
"h9","109","142",183.089
"h9","109","143",187.23257
"h9","109","155",120.6834
"h9","110","102",93.58184
"h9","110","104",128.4545
"h9","110","111",61.0142
"h9","110","112",240.328
"h9","110","113",159.44871
"h9","110","115",45.41677
"h9","110","117",101.6207
"h9","110","122",87.85105
"h9","110","126",209.1754
"h9","110","128",132.5703
"h9","110","129",70.6686
"h9","110","131",122.0352
"h9","110","133",221.8322
"h9","110","136",153.3295
"h9","110","139",126.4033
"h9","110","143",188.6583
"h9","110","144",60.48834
"h9","110","149",94.15743
"h9","110","155",122.473
"h9","110","157",101.4177
"h9","114","102",66.31136
"h9","114","111",44.11346
"h9","114","112",130.9183
"h9","114","113",153.93857
"h9","114","115",238.42976
"h9","114","116",137.5771
"h9","114","117",102.2112
"h9","114","127",93.81219
"h9","114","135",141.1336
"h9","114","141",113.5329
"h9","114","155",144.0884
"h9","116","102",105.437
"h9","116","106",150.2722
"h9","116","111",61.0142
"h9","116","113",230.49736
"h9","116","115",97.09467
"h9","116","117",178.17485
"h9","116","134",124.3715
"h9","116","142",123.23
"h9","118","104",100.9286
"h9","118","105",111.22087
"h9","118","111",107.88059
"h9","118","115",51.93995
"h9","118","116",131.63514
"h9","118","117",137.8685
"h9","118","121",147.7128
"h9","118","122",253.4132
"h9","118","123",81.68369
"h9","118","132",144.4651
"h9","118","136",517.0762
"h9","118","141",130.3537
"h9","118","143",103.9153
"h9","118","146",114.7941
"h9","119","101",37.22053
"h9","119","104",163.1755
"h9","119","110",129.3702
"h9","119","114",62.98012
"h9","119","118",275.6624
"h9","119","120",165.96172
"h9","119","122",114.2622
"h9","119","129",70.6686
"h9","119","130",187.44379
"h9","119","131",481.7701
"h9","119","139",126.4033
"h9","119","140",103.4807
"h9","119","142",106.4108
"h9","119","145",83.98158
"h9","119","146",114.7941
"h9","119","147",81.6866
"h9","119","150",104.6939
"h9","119","156",152.1258
"h9","119","157",98.42166
"h9","121","105",59.18745
"h9","121","112",122.2728
"h9","121","114",173.66508
"h9","121","117",140.1668
"h9","121","119",128.1628
"h9","121","126",86.67072
"h9","121","127",81.81538
"h9","121","128",93.54513
"h9","121","129",157.3232
"h9","121","137",141.6014
"h9","123","107",79.53874
"h9","123","117",115.3388
"h9","123","124",510.15703
"h9","123","125",366.98168
"h9","123","126",152.1533
"h9","123","137",160.894
"h9","123","139",79.03805
"h9","123","141",293.8667
"h9","123","152",165.4514
"h9","123","155",558.63134
"h9","123","156",292.839
"h9","124","109",119.8598
"h9","124","112",321.20843
"h9","124","119",421.9038
"h9","124","121",187.4625
"h9","124","123",176.06836
"h9","124","125",271.15078
"h9","124","127",172.10122
"h9","124","128",50.69564
"h9","124","131",140.7421
"h9","124","135",155.9919
"h9","124","141",154.7991
"h9","124","143",129.8302
"h9","124","147",54.47666
"h9","124","148",173.77108
"h9","124","152",165.4514
"h9","124","155",115.2102
"h9","124","157",191.06596
"h9","125","101",37.22053
"h9","125","103",251.2266
"h9","125","107",178.64595
"h9","125","108",272.92888
"h9","125","111",80.739
"h9","125","112",72.99217
"h9","125","113",52.78855
"h9","125","115",74.25227
"h9","125","119",228.4782
"h9","125","121",182.5924
"h9","125","123",172.74081
"h9","125","124",459.5791
"h9","125","126",451.16967
"h9","125","128",334.9428
"h9","125","131",155.5778
"h9","125","132",300.9796
"h9","125","134",78.0032
"h9","125","138",116.8571
"h9","125","142",92.4209
"h9","125","151",92.53121
"h9","125","153",152.866
"h9","125","157",179.53852
"h9","130","106",400.8875
"h9","130","108",85.81717
"h9","130","110",94.7109
"h9","130","111",63.76713
"h9","130","112",122.1285
"h9","130","115",81.63214
"h9","130","116",96.98236
"h9","130","117",280.7865
"h9","130","123",62.85849
"h9","130","132",163.6425
"h9","130","133",113.9406
"h9","130","138",170.5327
"h9","131","108",96.9438
"h9","131","112",63.16652
"h9","131","113",72.6355
"h9","131","115",44.02325
"h9","131","116",87.49415
"h9","131","126",176.8965
"h9","131","127",433.25514
"h9","131","128",310.49976
"h9","131","129",520.75934
"h9","131","137",299.5368
"h9","131","141",498.51903
"h9","131","148",65.41728
"h9","131","153",106.6201
"h9","131","154",113.7708
"h9","140","110",121.4716
"h9","140","114",103.91154
"h9","140","119",131.3615
"h9","140","122",121.1847
"h9","140","134",65.91244
"h9","140","137",273.53306
"h9","140","138",306.22013
"h9","140","139",113.5494
"h9","140","141",307.82113
"h9","140","142",330.44626
"h9","140","143",103.9153
"h9","140","145",262.25246
"h9","140","146",249.6488
"h9","140","157",112.8144
"h9","141","111",44.11346
"h9","141","121",182.5924
"h9","141","122",121.1847
"h9","141","138",117.1527
"h9","141","139",79.03805
"h9","141","142",88.79846
"h9","141","143",103.9153
"h9","141","144",255.84323
"h9","141","155",89.00406
"h9","141","156",114.5238
"h9","145","109",79.94082
"h9","145","111",29.55187
"h9","145","115",76.56542
"h9","145","120",52.35614
"h9","145","126",103.2796
"h9","145","139",158.0761
"h9","145","140",172.1867
"h9","145","141",305.3758
"h9","145","142",296.95154
"h9","145","143",749.72476
"h9","145","144",246.96799
"h9","145","146",317.7541
"h9","145","147",127.7791
"h9","145","154",113.7708
"h9","145","156",269.79834
"h9","147","112",246.4351
"h9","147","116",96.79754
"h9","147","118",196.6616
"h9","147","124",114.0571
"h9","147","126",126.9449
"h9","147","137",313.3836
"h9","147","143",72.06937
"h9","147","145",68.26426
"h9","147","146",85.48774
"h9","147","148",148.9394
"h9","147","149",509.24101
"h9","147","150",494.4826
"h9","147","151",95.46203
"h9","147","152",229.9592
"h9","147","153",110.8617
"h9","147","154",113.7708
"h9","147","156",215.22584
"h9","147","157",241.0044
"h9","150","111",29.83848
"h9","150","125",166.0997
"h9","150","133",113.9406
"h9","150","139",92.70577
"h9","150","145",58.94096
"h9","150","149",224.0616
"h9","150","151",286.48648
"h9","150","152",305.3004
"h9","150","153",352.40496
"h9","150","155",359.52708
"h9","150","156",232.00585
"h9","157","104",100.9286
"h9","157","114",53.19808
"h9","157","118",259.5254
"h9","157","123",62.85849
"h9","157","125",166.0997
"h9","157","126",107.3554
"h9","157","129",181.6775
"h9","157","140",138.5771
"h9","157","141",80.75533
"h9","157","154",224.8125
"h9","157","156",135.7682
"h10","101","102",98.52926
"h10","101","104",100.9286
"h10","101","107",111.092
"h10","101","108",215.77027
"h10","101","109",88.91801
"h10","101","110",112.28
"h10","101","111",44.11346
"h10","101","112",666.4918
"h10","101","115",125.65539
"h10","101","116",168.35918
"h10","101","118",407.2153
"h10","101","119",273.3517
"h10","101","120",81.61043
"h10","101","124",304.667
"h10","101","126",110.9103
"h10","101","127",76.0151
"h10","101","133",500.5368
"h10","101","134",125.3679
"h10","101","138",223.6177
"h10","101","141",80.75533
"h10","101","144",60.48834
"h10","101","146",81.22411
"h10","101","151",144.6518
"h10","101","153",160.6238
"h10","101","157",227.72812
"h10","102","101",47.8897
"h10","102","104",91.83646
"h10","102","105",364.67759
"h10","102","106",151.24746
"h10","102","109",107.7442
"h10","102","112",472.22045
"h10","102","113",181.56602
"h10","102","115",53.5837
"h10","102","118",196.5953
"h10","102","119",242.8802
"h10","102","121",187.4625
"h10","102","122",177.3348
"h10","102","123",86.05777
"h10","102","127",218.61448
"h10","102","128",151.79774
"h10","102","131",450.7345
"h10","102","132",110.3454
"h10","102","134",125.3679
"h10","102","139",79.03805
"h10","102","151",86.70056
"h10","102","152",165.4514
"h10","102","154",195.0022
"h10","102","157",156.1055
"h10","103","104",238.9022
"h10","103","105",30.2929
"h10","103","107",190.63074
"h10","103","109",235.772
"h10","103","110",169.6034
"h10","103","111",122.57566
"h10","103","113",54.9803
"h10","103","114",53.19808
"h10","103","121",147.7128
"h10","103","122",82.90815
"h10","103","128",154.37894
"h10","103","129",206.499
"h10","103","136",67.66049
"h10","103","139",106.3414
"h10","103","143",103.9153
"h10","103","148",73.07759
"h10","103","156",186.34848
"h10","105","111",194.30625
"h10","105","113",105.8459
"h10","105","117",212.8213
"h10","105","118",421.8012
"h10","105","120",56.83508
"h10","105","122",173.3719
"h10","105","131",181.9078
"h10","105","146",94.18232
"h10","105","156",147.8581
"h10","105","157",89.68148
"h10","106","101",69.52816
"h10","106","102",98.52926
"h10","106","104",81.28795
"h10","106","107",79.53874
"h10","106","112",122.1285
"h10","106","116",65.81757
"h10","106","118",292.60809
"h10","106","119",228.4782
"h10","106","121",151.6526
"h10","106","128",104.8093
"h10","106","133",137.4175
"h10","106","139",106.3414
"h10","106","141",113.5329
"h10","106","145",68.26426
"h10","106","150",104.6939
"h10","106","156",144.9809
"h10","107","102",72.75554
"h10","107","106",150.2722
"h10","107","108",82.52018
"h10","107","111",49.31207
"h10","107","114",85.20546
"h10","107","117",103.9151
"h10","107","120",42.70929
"h10","107","122",287.6341
"h10","107","124",63.21663
"h10","107","125",85.47588
"h10","107","133",137.4175
"h10","107","137",108.2411
"h10","107","154",195.0022
"h10","108","106",150.2722
"h10","108","109",87.80979
"h10","108","112",133.0313
"h10","108","113",53.60281
"h10","108","115",63.38433
"h10","108","120",77.325
"h10","108","122",209.03575
"h10","108","124",146.7644
"h10","108","131",226.7005
"h10","108","157",81.79744
"h10","109","105",77.00953
"h10","109","108",71.76716
"h10","109","110",121.4716
"h10","109","111",44.11346
"h10","109","112",168.3444
"h10","109","113",74.85891
"h10","109","114",56.53178
"h10","109","118",147.4817
"h10","109","122",88.68297
"h10","109","123",90.01059
"h10","109","127",184.62101
"h10","109","128",126.3467
"h10","109","131",144.6932
"h10","109","133",244.8648
"h10","109","137",72.78828
"h10","109","141",245.9803
"h10","109","142",183.089
"h10","109","143",187.23257
"h10","109","155",120.6834
"h10","110","102",93.58184
"h10","110","104",128.4545
"h10","110","111",61.0142
"h10","110","112",240.328
"h10","110","113",238.88519
"h10","110","115",45.41677
"h10","110","117",101.6207
"h10","110","122",87.85105
"h10","110","126",209.1754
"h10","110","128",132.5703
"h10","110","129",70.6686
"h10","110","131",122.0352
"h10","110","133",221.8322
"h10","110","136",153.3295
"h10","110","139",126.4033
"h10","110","143",188.6583
"h10","110","144",60.48834
"h10","110","149",94.15743
"h10","110","155",122.473
"h10","110","157",101.4177
"h10","114","102",66.31136
"h10","114","111",44.11346
"h10","114","113",153.93857
"h10","114","115",238.42976
"h10","114","116",137.5771
"h10","114","117",102.2112
"h10","114","127",93.81219
"h10","114","135",141.1336
"h10","114","137",156.90372
"h10","114","141",113.5329
"h10","114","155",144.0884
"h10","116","102",105.437
"h10","116","106",150.2722
"h10","116","111",61.0142
"h10","116","113",230.49736
"h10","116","114",66.48787
"h10","116","115",97.09467
"h10","116","117",102.2112
"h10","116","125",97.56013
"h10","116","142",123.23
"h10","118","104",100.9286
"h10","118","105",59.18745
"h10","118","111",107.88059
"h10","118","115",51.93995
"h10","118","116",131.63514
"h10","118","117",270.1139
"h10","118","121",147.7128
"h10","118","122",253.4132
"h10","118","123",81.68369
"h10","118","132",155.8482
"h10","118","136",517.0762
"h10","118","141",130.3537
"h10","118","146",114.7941
"h10","119","101",37.22053
"h10","119","104",163.1755
"h10","119","110",129.3702
"h10","119","114",62.98012
"h10","119","117",56.317
"h10","119","118",275.6624
"h10","119","120",201.54104
"h10","119","122",114.2622
"h10","119","129",70.6686
"h10","119","130",187.44379
"h10","119","131",481.7701
"h10","119","139",126.4033
"h10","119","140",103.4807
"h10","119","142",106.4108
"h10","119","145",83.98158
"h10","119","146",114.7941
"h10","119","147",81.6866
"h10","119","150",104.6939
"h10","119","154",113.7708
"h10","119","156",152.1258
"h10","119","157",98.42166
"h10","123","107",79.53874
"h10","123","117",115.3388
"h10","123","124",480.32892
"h10","123","125",200.88198
"h10","123","126",152.1533
"h10","123","137",305.11806
"h10","123","139",79.03805
"h10","123","141",293.8667
"h10","124","112",248.21626
"h10","124","119",421.9038
"h10","124","123",335.97847
"h10","124","125",185.6749
"h10","124","126",147.6075
"h10","124","127",172.10122
"h10","124","128",50.69564
"h10","124","131",140.7421
"h10","124","135",155.9919
"h10","124","141",154.7991
"h10","124","143",129.8302
"h10","124","147",54.47666
"h10","124","148",173.77108
"h10","124","152",165.4514
"h10","124","155",115.2102
"h10","124","157",191.06596
"h10","125","101",37.22053
"h10","125","103",251.2266
"h10","125","107",178.64595
"h10","125","108",272.92888
"h10","125","111",113.78132
"h10","125","112",199.32521
"h10","125","113",52.78855
"h10","125","115",148.50454
"h10","125","119",228.4782
"h10","125","121",326.9522
"h10","125","122",82.90815
"h10","125","123",163.36738
"h10","125","124",532.03503
"h10","125","126",451.16967
"h10","125","128",334.9428
"h10","125","131",155.5778
"h10","125","132",300.9796
"h10","125","134",78.0032
"h10","125","138",116.8571
"h10","125","142",187.12392
"h10","125","151",92.53121
"h10","125","153",152.866
"h10","125","157",89.76926
"h10","130","106",400.8875
"h10","130","108",85.81717
"h10","130","111",63.76713
"h10","130","115",81.63214
"h10","130","116",96.98236
"h10","130","117",280.7865
"h10","130","122",88.68297
"h10","130","123",62.85849
"h10","130","132",163.6425
"h10","130","133",113.9406
"h10","130","138",170.5327
"h10","131","108",96.9438
"h10","131","112",66.51565
"h10","131","113",72.6355
"h10","131","115",44.02325
"h10","131","116",87.49415
"h10","131","126",176.8965
"h10","131","127",433.25514
"h10","131","128",310.49976
"h10","131","129",237.64684
"h10","131","133",113.9406
"h10","131","137",106.8201
"h10","131","141",498.51903
"h10","131","148",65.41728
"h10","131","153",106.6201
"h10","131","154",113.7708
"h10","132","112",261.8366
"h10","132","118",129.7627
"h10","132","119",241.4185
"h10","132","126",99.96927
"h10","132","130",163.45046
"h10","132","131",340.6435
"h10","132","133",89.98568
"h10","132","134",84.67565
"h10","132","135",155.1383
"h10","132","137",72.78828
"h10","132","139",92.70577
"h10","140","110",121.4716
"h10","140","114",103.91154
"h10","140","119",131.3615
"h10","140","121",122.9839
"h10","140","122",121.1847
"h10","140","134",65.91244
"h10","140","137",273.53306
"h10","140","138",306.22013
"h10","140","139",227.0988
"h10","140","141",307.82113
"h10","140","142",212.65456
"h10","140","143",207.8306
"h10","140","145",262.25246
"h10","140","146",249.6488
"h10","140","157",112.8144
"h10","141","111",44.11346
"h10","141","121",182.5924
"h10","141","122",121.1847
"h10","141","138",117.1527
"h10","141","139",79.03805
"h10","141","142",88.79846
"h10","141","143",103.9153
"h10","141","144",255.84323
"h10","141","155",89.00406
"h10","141","156",114.5238
"h10","143","106",150.2722
"h10","143","132",156.5145
"h10","143","138",234.0098
"h10","143","140",366.60202
"h10","143","141",139.5984
"h10","143","144",213.0994
"h10","143","145",136.52852
"h10","145","109",79.94082
"h10","145","111",29.55187
"h10","145","115",76.56542
"h10","145","120",52.35614
"h10","145","126",103.2796
"h10","145","139",158.0761
"h10","145","140",172.1867
"h10","145","141",305.3758
"h10","145","142",202.2589
"h10","145","143",931.06106
"h10","145","144",246.96799
"h10","145","146",442.5785
"h10","145","147",127.7791
"h10","145","156",269.79834
"h10","147","112",246.4351
"h10","147","116",96.79754
"h10","147","118",196.6616
"h10","147","124",114.0571
"h10","147","126",126.9449
"h10","147","137",313.3836
"h10","147","142",225.6665
"h10","147","143",72.06937
"h10","147","146",85.48774
"h10","147","148",272.26458
"h10","147","149",649.38511
"h10","147","150",368.3404
"h10","147","151",95.46203
"h10","147","152",229.9592
"h10","147","153",110.8617
"h10","147","154",113.7708
"h10","147","156",215.22584
"h10","147","157",241.0044
"h10","149","121",77.14189
"h10","149","143",234.08518
"h10","149","146",100.4659
"h10","149","148",141.9865
"h10","149","150",80.52916
"h10","149","151",146.0714
"h10","149","153",190.65406
"h10","149","154",525.7416
"h10","150","111",29.83848
"h10","150","125",166.0997
"h10","150","133",113.9406
"h10","150","139",92.70577
"h10","150","145",58.94096
"h10","150","149",224.0616
"h10","150","151",286.48648
"h10","150","152",305.3004
"h10","150","153",352.40496
"h10","150","155",182.12248
"h10","150","156",375.67645
"h10","154","118",93.99894
"h10","154","123",62.85849
"h10","154","126",322.0662
"h10","154","131",257.078
"h10","154","149",77.86806
"h10","154","153",553.26148
"h10","154","155",89.00406
"h10","154","157",89.76926
"h10","157","104",100.9286
"h10","157","107",59.77625
"h10","157","114",53.19808
"h10","157","118",259.5254
"h10","157","123",62.85849
"h10","157","125",166.0997
"h10","157","126",107.3554
"h10","157","129",181.6775
"h10","157","140",138.5771
"h10","157","154",224.8125
"h10","157","156",512.75495
"h11","101","102",197.05852
"h11","101","103",166.4
"h11","101","104",497.5493
"h11","101","105",109.6438
"h11","101","106",161.8942
"h11","101","107",111.092
"h11","101","108",91.54387
"h11","101","109",88.91801
"h11","101","110",112.28
"h11","101","111",44.11346
"h11","101","112",666.4918
"h11","101","114",90.54492
"h11","101","115",125.65539
"h11","101","116",311.66578
"h11","101","118",541.1055
