"district","hour","mode1","mode2","mode3"
"101","4am",0,0,0
"102","4am",0,0,0
"103","4am",0,0,0
"104","4am",0,0,0
"105","4am",0,0,0
"106","4am",0,0,0
"107","4am",0,0,0
"108","4am",0,0,0
"109","4am",0,0,0
"110","4am",0,0,0
"111","4am",0,0,0
"112","4am",0,0,0
"113","4am",0,0,0
"114","4am",0,0,0
"115","4am",0,0,0
"116","4am",0,0,0
"117","4am",0,0,0
"118","4am",0,0,0
"119","4am",0,0,0
"120","4am",0,0,0
"121","4am",0,0,0
"122","4am",0,0,0
"123","4am",0,0,0
"124","4am",0,0,0
"125","4am",0,0,0
"126","4am",0,0,0
"127","4am",0,0,0
"128","4am",0,0,0
"129","4am",0,0,0
"130","4am",0,0,0
"101","5am",0,0,0
"102","5am",0,0,0
"103","5am",0,0,0
"104","5am",0,0,0
"105","5am",0,0,0
"106","5am",0,0,0
"107","5am",0,0,0
"108","5am",0,0,0
"109","5am",0,0,0
"110","5am",0,0,0
"111","5am",0,0,0
"112","5am",0,0,0
"113","5am",0,0,0
"114","5am",0,0,0
"115","5am",0,0,0
"116","5am",0,0,0
"117","5am",0,0,0
"118","5am",0,0,0
"119","5am",0,0,0
"120","5am",0,0,0
"121","5am",0,0,0
"122","5am",0,0,0
"123","5am",0,0,0
"124","5am",0,0,0
"125","5am",0,0,0
"126","5am",0,0,0
"127","5am",0,0,0
"128","5am",0,0,0
"129","5am",0,0,0
"130","5am",0,0,0
"101","6am",0,0,0
"102","6am",0,0,0
"103","6am",0,0,0
"104","6am",0,0,0
"105","6am",0,0,0
"106","6am",0,0,0
"107","6am",0,913.6164,0
"108","6am",0,0,0
"109","6am",0,0,0
"110","6am",0,0,0
"111","6am",0,0,0
"112","6am",0,0,0
"113","6am",0,0,0
"114","6am",0,0,0
"115","6am",0,0,0
"116","6am",0,0,0
"117","6am",0,0,0
"118","6am",0,0,0
"119","6am",0,0,0
"120","6am",0,0,0
"121","6am",0,0,0
"122","6am",0,0,0
"123","6am",0,0,0
"124","6am",0,0,0
"125","6am",0,0,0
"126","6am",0,0,0
"127","6am",0,0,0
"128","6am",0,0,0
"129","6am",0,0,0
"130","6am",0,0,0
"101","7am",0,1667.679,0
"102","7am",0,1978.7535,0
"103","7am",788.8423,1903.377,0
"104","7am",1119.6786,1130.2149,0
"105","7am",0,0,0
"106","7am",0,1678.687,0
"107","7am",0,1824.1466,0
"108","7am",0,1626.1739,0
"109","7am",0,0,0
"110","7am",0,1049.3115,0
"111","7am",0,797.7664,0
"112","7am",0,0,0
"113","7am",0,0,0
"114","7am",0,874.6363,0
"115","7am",0,0,0
"116","7am",0,0,0
"117","7am",0,0,0
"118","7am",0,0,0
"119","7am",0,1097.5017,0
"120","7am",0,0,0
"121","7am",0,0,0
"122","7am",0,0,0
"123","7am",0,685.4796,0
"124","7am",0,0,0
"125","7am",0,0,0
"126","7am",0,1001.0737,0
